,id,latitude,longitude,unit_price,is_isolated,is_first,is_chattels,is_nice_view,is_view_to_both,rooms,walls_type,finishing_type,is_elevators,epoch,square_PC_1
0,c_285076029,59.884975,30.992156,112498.77,1,0,1,1,0,1,2.0,2.0,2,3,1.957
1,c_282547075,59.877452,31.005101,122298.99,1,0,0,0,0,0,2.0,2.0,2,3,-0.131
2,c_283392988,59.885638,30.990359,83966.34,1,0,0,0,0,0,4.0,1.0,0,3,0.577
3,c_286475338,59.885638,30.990359,86625.0,1,0,0,0,0,0,4.0,1.0,2,3,-0.446
4,c_278658394,59.886343,31.001193,86758.62,1,0,1,0,0,1,2.0,2.0,1,2,1.17
5,c_285245246,59.877931,30.98284,140679.61,1,0,1,0,0,0,4.0,2.0,1,3,1.627
6,c_278234036,59.886045,30.988401,105217.04,1,0,0,0,0,0,4.0,2.0,1,3,0.118
7,c_279485761,59.880252,30.985634,113053.51,1,0,0,1,0,0,3.0,2.0,1,3,-0.325
8,c_286446614,59.877019,30.999854,74540.54,1,1,0,0,0,2,2.0,1.0,0,2,-0.404
9,c_286266009,59.888717,30.991698,69018.04,1,0,0,0,0,2,2.0,2.0,0,2,-1.489
10,c_286957465,59.877931,30.98284,113806.45,1,0,0,0,0,1,4.0,2.0,1,3,3.017
11,c_286987636,59.877931,30.98284,133707.87,1,0,0,1,0,0,4.0,4.0,2,3,0.075
12,c_284905550,59.883647,30.986622,72437.81,1,0,0,0,1,3,3.0,2.0,0,2,-1.51
13,c_281888459,59.873817,30.985508,88842.42,1,0,1,0,0,2,1.0,4.0,0,1,-0.267
14,c_286661404,59.877452,31.005101,110634.15,1,0,0,0,1,1,4.0,2.0,1,3,5.063
15,c_286555638,59.879696,30.994527,87111.11,1,1,0,0,0,2,2.0,1.0,0,2,0.076
16,c_273118841,59.886045,30.988401,102139.95,1,0,1,0,1,1,4.0,3.0,1,3,2.581
17,c_284091929,59.887584,31.000043,88042.75,1,0,0,0,0,2,2.0,3.0,0,2,0.088
18,c_283919558,59.873677,30.997375,100172.41,1,0,1,0,1,2,3.0,3.0,0,2,-0.111
19,c_284086346,59.877452,31.005101,107429.66,1,0,1,0,1,2,2.0,3.0,2,3,0.213
20,c_279068675,59.877931,30.98284,95083.33,1,1,1,0,0,3,4.0,2.0,2,3,-0.776
21,c_282567179,59.877931,30.98284,103738.47,1,0,1,0,0,3,4.0,3.0,2,3,-0.503
