variable,mean
is_free,0.758
is_mortgage,0.875
is_isolated,0.908
is_first,0.125
is_last,0.150
is_block,0.125
is_brick,0.292
is_panel,0.300
is_cast_in_place,0.283
is_chattels,0.433
is_nice_view,0.208
is_two-sided,0.150
is_without_renovation,0.183
is_basic_renovation,0.625
is_improved_renovation,0.133
is_design_renovation,0.058
has_loggia,0.400
has_balcony,0.375
has_balcony_or_loggia,0.775
is_view_to_street,0.158
is_view_to_courtyard,0.317
is_view_to_both,0.383
is_view_undefined,0.142
has_name,0.425
