price,date
113928.0,2023-04-30
113704.0,2023-03-31
113750.0,2023-02-28
114164.0,2023-01-31
114794.0,2022-12-31
115521.0,2022-11-30
116715.0,2022-10-31
117070.0,2022-09-30
117361.0,2022-08-31
117179.0,2022-07-31
116217.0,2022-06-30
115167.0,2022-05-31
113550.0,2022-04-30
111641.0,2022-03-31
106638.0,2022-01-31
104661.0,2021-12-31
100510.0,2021-10-31
98851.0,2021-09-30
108981.0,2022-02-28
93646.0,2021-06-30
91693.0,2021-05-31
102620.0,2021-11-30
84127.0,2021-02-28
81760.0,2021-01-31
96715.0,2021-08-31
95343.0,2021-07-31
78501.0,2020-11-30
77168.0,2020-10-31
89370.0,2021-04-30
86608.0,2021-03-31
76246.0,2020-09-30
75095.0,2020-07-31
74887.0,2020-06-30
80039.0,2020-12-31
74435.0,2020-05-31
73979.0,2019-12-31
73771.0,2019-11-30
75581.0,2020-08-31
73270.0,2019-09-30
72773.0,2019-08-31
73999.0,2020-03-31
73770.0,2020-02-29
74032.0,2020-01-31
72102.0,2019-07-31
71654.0,2019-06-30
74334.0,2020-04-30
73503.0,2019-10-31
70595.0,2019-05-31
69756.0,2019-03-31
69432.0,2019-02-28
69359.0,2019-01-31
69341.0,2018-12-31
68842.0,2018-11-30
70208.0,2019-04-30
68486.0,2018-10-31
68019.0,2018-06-30
67155.0,2018-05-31
65088.0,2018-02-28
65287.0,2018-01-31
68458.0,2018-09-30
68591.0,2018-08-31
68361.0,2018-07-31
65693.0,2017-12-31
65971.0,2017-11-30
65506.0,2017-10-31
66454.0,2018-04-30
65812.0,2018-03-31
67498.0,2017-05-31
68107.0,2017-04-30
68553.0,2017-02-28
67967.0,2017-01-31
64941.0,2017-08-31
65211.0,2017-07-31
66371.0,2017-06-30
68066.0,2016-11-30
68544.0,2016-10-31
64927.0,2017-09-30
68539.0,2017-03-31
65941.0,2016-08-31
64899.0,2016-07-31
67853.0,2016-12-31
64675.0,2016-06-30
65941.0,2016-05-31
67368.0,2016-09-30
67113.0,2016-04-30
67953.0,2016-03-31
68682.0,2016-02-29
68298.0,2016-01-31
